Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
29.2,60.8,59.8,Loamy,Cotton,12.2,11.7,29.9,14-35-14
30.0,56.2,48.5,Loamy,Wheat,16.4,3.8,38.2,DAP
27.6,58.7,40.9,Clayey,Paddy,38.9,3.7,1.6,Urea
32.9,63.6,46.2,Loamy,Wheat,35.5,4.1,5.3,Urea
35.4,65.2,38.6,Clayey,Pulses,39.9,3.5,2.6,Urea
26.9,52.7,30.5,Sandy,Barley,10.5,12.1,16.1,17-17-17
35.7,65.7,52.1,Loamy,Sugarcane,13.7,14.7,13.2,17-17-17
32.0,63.0,61.6,Red,Cotton,12.6,10.6,34.9,14-35-14
28.5,66.1,63.9,Loamy,Cotton,9.3,11.3,29.0,14-35-14
33.5,66.5,30.2,Clayey,Pulses,41.6,3.3,0.5,Urea
33.2,60.7,47.8,Clayey,Paddy,9.0,0.9,20.6,28-28
30.5,65.9,40.5,Clayey,Paddy,9.6,4.4,20.1,28-28
33.4,58.6,44.4,Sandy,Millets,14.6,4.2,18.7,28-28
27.8,55.9,55.3,Red,Cotton,11.3,1.3,10.6,20-20
36.3,61.5,33.4,Loamy,Sugarcane,36.3,3.1,3.5,Urea
31.7,61.7,32.6,Loamy,Sugarcane,40.9,0.7,2.0,Urea
24.7,52.1,55.7,Red,Cotton,9.9,4.7,7.5,20-20
28.2,49.5,27.0,Sandy,Ground Nuts,12.0,2.9,41.7,DAP
39.4,67.1,41.8,Clayey,Paddy,15.9,1.5,42.2,DAP
39.5,72.4,37.4,Black,Oil seeds,12.9,7.0,39.4,DAP
26.6,66.8,63.1,Loamy,Cotton,37.1,1.9,2.2,Urea
30.7,64.8,34.8,Red,Tobacco,23.7,1.4,26.6,28-28
30.9,54.3,33.2,Sandy,Maize,37.5,1.3,1.6,Urea
33.0,66.5,39.0,Red,Pulses,25.3,1.7,22.5,28-28
31.2,53.1,33.5,Clayey,Pulses,9.9,2.9,12.7,20-20
26.8,66.3,65.5,Loamy,Cotton,40.9,3.2,3.9,Urea
29.8,51.3,36.8,Sandy,Maize,24.5,2.2,19.7,28-28
35.5,71.1,31.7,Black,Oil seeds,11.2,8.9,44.1,DAP
24.8,52.8,31.4,Sandy,Ground Nuts,18.0,0.1,41.1,DAP
28.7,53.1,34.9,Black,Millets,34.1,4.8,6.0,Urea
36.9,69.2,43.9,Clayey,Paddy,14.1,2.8,41.1,DAP
39.4,66.1,31.5,Red,Tobacco,9.2,1.6,42.8,DAP
29.4,53.1,29.6,Clayey,Pulses,11.8,3.4,9.7,20-20
30.4,65.6,30.9,Loamy,Sugarcane,36.2,1.8,2.6,Urea
39.4,70.0,34.6,Clayey,Paddy,10.8,0.3,38.1,DAP
30.1,51.4,40.3,Sandy,Maize,41.9,3.6,4.2,Urea
33.1,61.1,47.5,Black,Sugarcane,11.9,14.0,11.9,17-17-17
33.6,65.9,36.9,Red,Tobacco,12.1,4.8,36.7,DAP
23.8,64.1,63.6,Loamy,Cotton,38.6,4.8,4.3,Urea
36.6,62.1,63.7,Black,Cotton,5.7,12.4,35.4,14-35-14
36.5,69.1,31.7,Black,Oil seeds,9.4,8.5,45.9,DAP
30.6,58.5,67.2,Black,Cotton,42.1,1.9,0.9,Urea
25.8,52.5,63.2,Red,Cotton,13.9,3.8,9.3,20-20
27.1,53.4,33.9,Black,Millets,40.0,1.0,2.2,Urea
28.8,55.6,37.4,Red,Ground Nuts,12.7,1.1,42.9,DAP
26.9,52.4,27.6,Sandy,Ground Nuts,16.3,3.3,44.0,DAP
24.6,56.7,44.1,Loamy,Wheat,28.9,3.9,19.7,28-28
29.1,64.4,57.6,Loamy,Cotton,10.5,9.5,35.9,14-35-14
37.4,63.6,31.7,Red,Pulses,25.8,0.9,22.1,28-28
31.6,59.7,57.4,Red,Cotton,6.9,14.1,30.9,14-35-14
29.8,67.5,38.5,Red,Pulses,28.9,5.1,24.0,28-28
27.7,60.1,68.9,Black,Cotton,41.3,0.1,4.4,Urea
33.9,63.3,28.6,Red,Tobacco,23.8,5.0,20.3,28-28
26.6,55.7,34.5,Sandy,Barley,14.6,12.6,19.1,17-17-17
33.2,60.1,68.0,Black,Cotton,36.2,0.0,2.0,Urea
27.5,52.8,47.4,Loamy,Wheat,14.2,3.3,38.2,DAP
28.5,56.1,29.4,Clayey,Pulses,16.2,2.9,9.8,20-20
25.2,62.2,64.9,Loamy,Cotton,44.8,3.0,0.0,Urea
28.5,53.6,40.7,Sandy,Maize,26.7,2.6,18.9,28-28
31.1,50.8,44.9,Loamy,Wheat,15.4,0.3,39.7,DAP
29.6,54.6,36.2,Red,Ground Nuts,11.2,0.8,39.8,DAP
25.1,53.5,32.1,Red,Ground Nuts,12.5,0.5,40.3,DAP
34.2,65.8,67.4,Black,Cotton,6.7,13.5,33.9,14-35-14
30.5,53.7,34.5,Black,Millets,35.9,3.0,6.1,Urea
32.0,55.6,41.1,Sandy,Millets,11.1,0.2,15.5,28-28
34.8,67.3,36.5,Clayey,Paddy,10.4,1.4,36.8,DAP
29.9,55.4,36.8,Black,Millets,41.1,4.1,3.8,Urea
33.5,62.9,24.8,Loamy,Sugarcane,12.6,3.9,33.3,DAP
35.4,65.5,45.1,Clayey,Paddy,15.2,0.1,20.3,28-28
34.4,66.0,45.8,Loamy,Wheat,36.6,3.3,4.8,Urea
28.5,55.1,26.4,Red,Ground Nuts,15.8,14.2,10.3,17-17-17
39.3,71.6,35.1,Black,Oil seeds,13.5,8.8,40.4,DAP
34.2,65.4,30.3,Loamy,Sugarcane,11.7,0.7,40.0,DAP
32.4,64.3,53.1,Loamy,Sugarcane,12.6,17.2,11.8,17-17-17
28.8,61.8,45.2,Black,Sugarcane,15.3,12.1,10.8,17-17-17
34.7,66.0,60.4,Black,Cotton,7.5,13.5,31.3,14-35-14
35.2,71.6,33.8,Clayey,Paddy,14.3,4.3,43.2,DAP
31.9,55.4,61.6,Black,Cotton,41.4,3.2,4.7,Urea
29.4,48.7,30.7,Sandy,Barley,10.4,12.9,14.8,17-17-17
27.5,54.5,25.2,Red,Ground Nuts,11.9,15.0,11.4,17-17-17
32.9,65.6,50.0,Loamy,Wheat,43.8,4.1,5.9,Urea
27.9,64.5,64.9,Loamy,Cotton,39.8,2.0,2.8,Urea
37.2,71.6,31.6,Black,Oil seeds,8.8,6.3,36.1,DAP
30.9,50.7,32.6,Sandy,Maize,44.6,2.6,0.8,Urea
37.3,67.3,66.1,Black,Cotton,11.0,8.2,30.5,14-35-14
29.8,57.0,66.0,Black,Cotton,42.4,4.0,2.5,Urea
38.3,67.3,35.2,Clayey,Paddy,13.4,3.3,43.3,DAP
35.0,65.8,28.6,Loamy,Sugarcane,11.8,4.3,33.0,DAP
25.1,64.0,67.4,Loamy,Cotton,33.9,0.8,4.2,Urea
30.8,65.6,31.4,Clayey,Pulses,40.4,5.7,0.7,Urea
27.4,54.2,41.0,Black,Millets,35.9,3.3,0.0,Urea
32.6,53.7,37.1,Sandy,Maize,25.7,0.8,21.8,28-28
26.6,53.1,27.5,Red,Ground Nuts,10.3,1.6,39.0,DAP
30.8,66.9,35.3,Red,Pulses,19.7,1.6,22.7,28-28
36.6,70.8,36.4,Clayey,Paddy,16.8,3.5,35.2,DAP
37.0,70.9,33.3,Black,Oil seeds,7.0,7.2,44.3,DAP
35.7,67.9,56.2,Loamy,Sugarcane,14.6,15.9,17.3,17-17-17
34.3,63.3,60.4,Black,Cotton,8.9,10.3,32.6,14-35-14
26.9,49.0,32.9,Sandy,Barley,16.2,7.4,12.4,17-17-17
39.0,70.9,33.8,Black,Oil seeds,9.1,9.9,36.2,DAP
33.2,57.6,63.7,Black,Cotton,40.5,1.1,7.2,Urea
33.9,54.3,41.8,Sandy,Millets,15.2,0.0,22.0,28-28
27.5,55.6,37.9,Black,Millets,44.0,3.3,2.7,Urea
34.1,64.6,31.7,Red,Tobacco,30.0,0.0,18.3,28-28
32.7,66.5,30.3,Clayey,Pulses,36.8,4.7,1.8,Urea
35.1,63.0,32.6,Loamy,Sugarcane,13.1,4.1,41.9,DAP
38.5,66.8,38.8,Clayey,Paddy,17.2,3.1,36.2,DAP
30.5,51.9,42.0,Loamy,Wheat,27.7,3.8,17.2,28-28
34.9,64.0,29.1,Loamy,Sugarcane,36.2,2.6,6.0,Urea
35.8,70.5,28.4,Sandy,Barley,11.8,1.6,34.8,14-35-14
36.4,67.5,43.4,Clayey,Paddy,15.1,2.0,42.5,DAP
27.3,50.1,30.5,Red,Ground Nuts,9.1,2.2,40.4,DAP
27.7,54.7,31.0,Red,Ground Nuts,14.3,13.9,11.1,17-17-17
26.1,55.1,32.0,Red,Ground Nuts,14.6,18.4,10.1,17-17-17
34.8,66.1,35.1,Clayey,Paddy,12.0,3.2,38.7,DAP
36.8,68.6,37.5,Clayey,Paddy,11.9,0.2,43.1,DAP
33.9,67.4,38.6,Red,Tobacco,13.3,3.9,34.6,DAP
34.5,69.7,30.0,Sandy,Barley,13.9,2.9,41.5,14-35-14
28.1,55.1,63.2,Red,Cotton,9.5,2.4,8.3,20-20
27.7,64.7,63.7,Loamy,Cotton,10.0,13.2,31.5,14-35-14
29.2,55.5,36.0,Sandy,Maize,29.5,3.7,22.9,28-28
28.3,61.2,49.6,Black,Sugarcane,12.6,16.8,16.0,17-17-17
27.5,59.1,58.4,Loamy,Cotton,7.6,11.2,34.0,14-35-14
30.6,51.6,51.1,Loamy,Wheat,29.7,1.5,24.3,28-28
29.4,53.2,31.0,Sandy,Barley,12.7,11.8,17.3,17-17-17
32.5,64.7,28.1,Loamy,Sugarcane,13.7,5.1,37.2,DAP
34.0,63.0,45.6,Clayey,Paddy,17.2,1.7,25.5,28-28
30.9,54.2,34.2,Black,Millets,32.7,3.7,1.9,Urea
34.5,66.5,49.2,Loamy,Sugarcane,12.6,14.7,15.5,17-17-17
27.4,53.7,34.4,Sandy,Maize,42.8,3.9,6.6,Urea
34.7,59.8,30.6,Loamy,Sugarcane,40.8,2.0,0.6,Urea
32.4,60.4,33.0,Loamy,Sugarcane,40.3,1.4,4.3,Urea
28.0,55.6,39.2,Sandy,Maize,39.9,2.6,2.3,Urea
25.5,54.7,24.1,Red,Ground Nuts,14.5,17.6,10.7,17-17-17
33.4,69.0,59.0,Black,Cotton,11.2,10.8,31.5,14-35-14
36.8,65.8,30.1,Sandy,Barley,11.6,2.9,38.7,14-35-14
36.1,68.8,39.1,Clayey,Paddy,10.6,4.3,40.9,DAP
30.5,58.7,64.1,Loamy,Cotton,8.5,11.6,33.0,14-35-14
33.3,67.1,39.2,Red,Pulses,24.3,3.8,27.4,28-28
36.2,60.0,39.8,Clayey,Pulses,41.0,1.4,4.9,Urea
30.2,63.9,42.5,Clayey,Paddy,15.9,1.2,24.9,28-28
26.7,54.0,40.3,Sandy,Maize,43.2,2.8,6.5,Urea
31.3,53.5,49.9,Loamy,Wheat,12.2,1.7,33.8,DAP
35.3,63.8,45.7,Loamy,Wheat,42.0,2.4,5.0,Urea
28.9,50.9,60.3,Red,Cotton,13.3,3.7,13.2,20-20
32.1,55.7,49.3,Clayey,Paddy,40.9,0.4,5.9,Urea
32.3,59.6,47.1,Clayey,Paddy,38.0,1.9,0.9,Urea
28.2,55.6,27.0,Sandy,Ground Nuts,20.5,1.1,30.7,DAP
30.5,63.4,35.7,Red,Pulses,17.5,4.8,19.3,28-28
34.6,62.7,59.9,Loamy,Sugarcane,13.7,10.8,33.9,14-35-14
26.5,54.2,32.0,Clayey,Pulses,12.5,1.7,13.8,20-20
28.6,57.6,42.9,Clayey,Paddy,43.9,4.5,0.5,Urea
33.8,62.8,47.8,Black,Sugarcane,15.4,17.4,15.3,17-17-17
26.8,55.7,27.5,Sandy,Ground Nuts,22.1,0.8,42.8,DAP
27.3,50.4,32.9,Sandy,Barley,13.9,11.2,16.8,17-17-17
31.6,56.2,33.0,Black,Millets,35.8,0.7,4.2,Urea
30.5,64.8,57.8,Loamy,Cotton,12.3,11.1,36.2,14-35-14
36.3,63.9,54.3,Loamy,Sugarcane,14.5,13.3,14.5,17-17-17
23.2,54.2,26.5,Red,Ground Nuts,14.4,18.9,8.1,17-17-17
26.4,58.2,31.1,Black,Millets,44.9,1.8,6.6,Urea
31.4,50.3,48.4,Loamy,Wheat,12.1,1.3,43.4,DAP
30.1,54.5,37.8,Black,Millets,38.0,3.5,2.4,Urea
31.8,57.6,51.6,Black,Sugarcane,15.1,12.0,14.6,17-17-17
28.0,57.5,35.9,Black,Millets,44.2,3.9,2.9,Urea
30.2,60.7,30.3,Red,Tobacco,22.8,4.3,26.8,28-28
25.0,65.0,60.7,Loamy,Cotton,40.1,4.8,4.9,Urea
30.4,56.1,43.1,Sandy,Millets,10.8,3.5,16.7,28-28
37.1,68.9,41.4,Clayey,Paddy,17.3,1.8,38.3,DAP
31.6,66.3,28.7,Loamy,Sugarcane,14.3,0.0,36.6,DAP
33.4,63.1,46.1,Loamy,Wheat,37.3,2.4,2.2,Urea
26.5,63.3,67.3,Loamy,Cotton,36.2,3.7,3.4,Urea
32.5,61.5,57.4,Loamy,Sugarcane,11.3,11.4,36.8,14-35-14
32.8,65.2,54.5,Loamy,Sugarcane,14.3,15.6,11.5,17-17-17
25.9,56.5,47.7,Loamy,Wheat,20.6,2.4,19.4,28-28
33.1,67.2,61.3,Red,Cotton,10.3,11.9,31.3,14-35-14
29.4,58.4,37.6,Black,Millets,39.5,4.3,2.0,Urea
38.5,68.1,29.4,Black,Oil seeds,10.3,7.8,36.4,DAP
36.7,69.4,34.8,Sandy,Barley,16.9,3.1,35.0,14-35-14
36.7,71.8,35.0,Black,Oil seeds,13.8,10.6,44.7,DAP
39.3,70.3,28.9,Black,Oil seeds,10.7,10.7,39.3,DAP
35.2,67.4,43.0,Clayey,Paddy,17.6,5.1,44.0,DAP
28.7,54.9,41.8,Sandy,Maize,24.1,2.0,21.6,28-28
28.8,56.7,40.4,Clayey,Paddy,43.2,0.0,2.1,Urea
30.5,59.8,55.8,Black,Sugarcane,13.0,14.3,16.2,17-17-17
27.7,58.0,38.4,Black,Millets,41.7,0.6,4.5,Urea
35.7,68.8,34.3,Clayey,Paddy,17.3,0.5,41.2,DAP
38.0,67.5,38.1,Clayey,Paddy,17.5,1.8,41.1,DAP
34.9,64.2,52.7,Loamy,Wheat,40.4,4.2,1.2,Urea
37.4,66.4,29.4,Red,Tobacco,7.1,0.6,40.7,DAP
32.8,66.0,57.8,Loamy,Sugarcane,15.6,11.9,28.7,14-35-14
34.8,68.2,36.1,Red,Tobacco,9.0,5.9,35.3,DAP
37.9,67.2,30.0,Sandy,Barley,14.0,2.6,40.8,14-35-14
31.8,63.6,62.8,Loamy,Cotton,10.9,8.1,35.7,14-35-14
30.8,50.5,44.6,Loamy,Wheat,15.3,1.1,34.2,DAP
32.7,63.4,62.9,Black,Cotton,11.2,12.1,30.3,14-35-14
30.5,66.7,38.6,Clayey,Pulses,44.2,4.6,0.0,Urea
30.6,66.5,52.3,Loamy,Wheat,44.9,2.5,0.0,Urea
36.1,61.8,33.5,Loamy,Sugarcane,35.3,4.1,6.3,Urea
36.0,68.2,35.7,Sandy,Barley,14.4,4.7,43.1,14-35-14
36.8,67.8,38.2,Clayey,Paddy,15.2,4.1,39.0,DAP
29.0,49.9,31.9,Red,Ground Nuts,12.9,1.7,37.4,DAP
25.6,64.1,62.9,Loamy,Cotton,39.6,1.7,2.7,Urea
30.2,51.5,53.9,Loamy,Wheat,13.6,1.8,37.1,DAP
33.2,57.3,68.2,Black,Cotton,35.8,3.6,4.4,Urea
29.2,55.6,28.8,Red,Ground Nuts,19.2,13.8,10.8,17-17-17
28.2,56.9,51.9,Loamy,Wheat,14.8,2.3,33.1,DAP
27.0,65.4,61.0,Loamy,Cotton,42.4,1.3,3.0,Urea
31.9,60.0,30.8,Red,Tobacco,24.0,1.9,22.3,28-28
34.6,62.7,67.5,Black,Cotton,8.3,12.0,35.8,14-35-14
28.4,55.5,40.6,Clayey,Paddy,44.0,1.6,0.5,Urea
38.3,71.4,35.0,Black,Oil seeds,10.9,11.5,44.1,DAP
30.0,53.4,59.0,Red,Cotton,8.5,4.3,12.4,20-20
32.0,65.8,54.8,Black,Sugarcane,12.4,14.1,12.4,17-17-17
32.8,66.1,47.3,Loamy,Wheat,39.7,1.7,3.6,Urea
32.6,62.3,47.9,Black,Sugarcane,13.0,16.4,13.6,17-17-17
35.5,65.9,61.5,Red,Cotton,12.1,12.2,27.8,14-35-14
31.2,56.5,63.5,Black,Cotton,43.1,0.3,0.0,Urea
29.1,54.0,67.7,Black,Cotton,43.5,3.7,1.4,Urea
35.5,67.3,50.6,Loamy,Sugarcane,10.3,13.4,11.0,17-17-17
30.4,56.1,59.9,Black,Cotton,37.8,0.6,4.2,Urea
35.0,62.8,46.0,Loamy,Wheat,44.5,1.1,2.9,Urea
29.1,54.4,31.6,Black,Millets,42.1,5.4,3.1,Urea
30.0,65.9,37.6,Clayey,Pulses,37.5,1.0,6.2,Urea
27.0,49.8,26.9,Sandy,Ground Nuts,17.9,3.9,33.8,DAP
36.0,64.7,49.3,Loamy,Sugarcane,10.5,15.1,13.8,17-17-17
30.9,63.8,36.3,Red,Tobacco,30.6,1.0,21.2,28-28
27.6,53.7,62.2,Red,Cotton,10.1,4.0,12.5,20-20
30.7,66.0,61.1,Red,Cotton,11.3,12.5,28.6,14-35-14
27.5,54.0,28.7,Red,Ground Nuts,13.3,16.4,14.7,17-17-17
35.9,67.1,33.3,Sandy,Barley,15.2,4.9,40.7,14-35-14
32.2,51.5,45.7,Loamy,Wheat,27.2,3.3,17.7,28-28
26.2,54.7,35.6,Red,Ground Nuts,9.1,2.5,42.3,DAP
36.1,68.8,44.4,Clayey,Paddy,17.8,5.7,38.8,DAP
28.0,51.0,41.3,Sandy,Maize,26.7,2.5,22.7,28-28
28.1,56.5,47.1,Loamy,Wheat,25.9,5.5,18.9,28-28
27.4,53.6,45.8,Loamy,Wheat,23.6,1.8,16.9,28-28
26.8,65.4,67.9,Loamy,Cotton,39.4,4.4,1.9,Urea
28.5,53.0,60.3,Black,Cotton,35.6,0.8,2.6,Urea
24.5,49.2,32.0,Red,Ground Nuts,11.6,3.2,42.6,DAP
32.1,60.6,44.9,Clayey,Paddy,17.4,1.2,20.3,28-28
26.9,47.8,31.5,Red,Ground Nuts,10.7,1.0,46.7,DAP
29.1,53.9,45.2,Loamy,Wheat,25.7,0.7,20.0,28-28
32.0,66.4,58.8,Black,Cotton,8.1,9.6,30.1,14-35-14
29.3,65.2,59.2,Loamy,Cotton,9.7,10.8,34.7,14-35-14
33.2,61.9,34.4,Loamy,Sugarcane,42.7,1.4,4.7,Urea
27.1,60.0,33.7,Black,Millets,44.0,0.0,0.8,Urea
28.2,52.6,26.8,Clayey,Pulses,10.2,1.4,15.5,20-20
33.1,64.5,61.1,Black,Cotton,10.5,11.3,28.5,14-35-14
25.1,53.8,23.9,Sandy,Ground Nuts,14.0,0.7,35.7,DAP
35.7,64.4,63.6,Red,Cotton,12.7,13.9,32.1,14-35-14
35.2,70.6,28.8,Sandy,Barley,12.0,3.6,35.4,14-35-14
28.8,64.4,56.9,Loamy,Sugarcane,13.4,5.1,33.2,14-35-14
27.0,49.7,24.1,Red,Ground Nuts,16.1,18.6,10.6,17-17-17
30.8,51.0,39.4,Sandy,Maize,28.5,1.8,17.0,28-28
37.0,64.2,60.2,Red,Cotton,11.6,14.0,29.5,14-35-14
32.1,56.8,63.5,Black,Cotton,36.1,2.1,3.4,Urea
31.0,62.5,62.0,Red,Cotton,13.1,12.7,26.8,14-35-14
29.3,52.9,38.8,Sandy,Maize,35.5,1.3,3.3,Urea
25.7,55.2,25.9,Red,Ground Nuts,14.8,17.5,14.5,17-17-17
35.6,68.9,34.4,Clayey,Paddy,13.5,3.0,37.9,DAP
30.8,59.5,64.3,Black,Cotton,34.6,1.6,5.3,Urea
27.0,56.7,58.1,Red,Cotton,8.2,0.3,7.8,20-20
28.1,55.0,26.7,Red,Ground Nuts,17.8,15.0,15.3,17-17-17
29.4,63.9,58.2,Loamy,Sugarcane,13.6,7.9,28.6,14-35-14
35.8,64.4,44.0,Loamy,Wheat,39.9,1.3,2.9,Urea
33.0,63.2,50.8,Loamy,Sugarcane,13.5,12.3,9.6,17-17-17
35.7,68.0,35.3,Clayey,Paddy,12.9,2.2,44.7,DAP
36.9,67.7,36.5,Clayey,Paddy,14.9,2.1,37.6,DAP
30.8,57.6,32.0,Clayey,Pulses,14.6,3.0,12.6,20-20
35.5,59.8,53.2,Black,Sugarcane,12.4,12.8,13.4,17-17-17
33.2,65.5,48.2,Loamy,Sugarcane,11.9,12.4,10.7,17-17-17
26.2,50.7,45.1,Loamy,Wheat,20.0,0.4,17.9,28-28
33.8,62.0,31.4,Red,Pulses,21.3,0.9,26.0,28-28
25.7,56.0,33.8,Red,Ground Nuts,12.2,4.8,43.7,DAP
25.8,61.5,62.4,Loamy,Cotton,41.2,4.7,3.8,Urea
32.8,66.0,30.1,Clayey,Pulses,37.1,1.0,1.6,Urea
26.5,52.0,24.9,Clayey,Pulses,13.5,1.8,10.1,20-20
35.9,64.5,38.7,Red,Tobacco,8.5,1.1,37.9,DAP
29.8,63.7,56.8,Red,Cotton,10.6,13.0,28.9,14-35-14
34.5,60.0,63.7,Loamy,Sugarcane,11.0,12.5,26.4,14-35-14
36.3,65.9,54.2,Loamy,Sugarcane,13.5,17.5,11.6,17-17-17
28.8,58.0,39.1,Black,Millets,36.2,0.0,1.7,Urea
31.0,62.5,63.9,Red,Cotton,7.7,10.1,27.4,14-35-14
34.9,65.5,36.9,Clayey,Paddy,13.1,2.5,39.5,DAP
35.1,66.9,30.4,Red,Tobacco,27.8,1.4,24.2,28-28
29.2,50.6,28.8,Sandy,Ground Nuts,14.3,3.7,32.6,DAP
29.9,55.2,50.2,Loamy,Wheat,15.6,0.2,39.1,DAP
35.4,69.6,31.9,Black,Oil seeds,13.2,6.9,46.1,DAP
24.9,64.8,65.2,Loamy,Cotton,38.4,3.8,1.4,Urea
32.1,63.3,30.3,Loamy,Sugarcane,40.4,2.8,1.6,Urea
32.6,66.4,65.7,Black,Cotton,11.1,12.6,33.5,14-35-14
34.7,62.4,39.4,Clayey,Pulses,44.9,0.2,0.0,Urea
29.0,51.8,46.7,Loamy,Wheat,12.3,3.9,37.1,DAP
34.2,64.7,30.1,Red,Pulses,21.4,5.1,23.5,28-28
28.5,55.1,39.7,Sandy,Maize,26.1,4.0,17.2,28-28
26.4,56.4,56.4,Red,Cotton,13.6,1.5,9.8,20-20
29.1,52.5,33.1,Sandy,Ground Nuts,16.8,0.0,36.1,DAP
30.8,67.9,50.3,Loamy,Wheat,39.7,2.5,5.7,Urea
34.5,65.0,36.4,Red,Pulses,25.4,4.1,26.7,28-28
25.9,65.0,61.1,Loamy,Cotton,43.6,3.2,2.0,Urea
32.3,58.7,56.6,Red,Cotton,11.9,9.1,29.7,14-35-14
35.4,70.3,31.7,Black,Oil seeds,8.6,7.7,39.1,DAP
24.1,62.0,63.0,Loamy,Cotton,38.4,0.3,5.8,Urea
31.8,60.8,42.0,Clayey,Paddy,14.2,0.6,26.1,28-28
37.7,70.8,34.1,Sandy,Barley,11.3,4.0,37.6,14-35-14
27.1,54.4,35.5,Sandy,Maize,32.7,1.4,1.7,Urea
